Ticker,Sector,Last Close,52W Low,% From Low,RSI,Vol vs Avg,Date Hit,P/E,P/B,Curr Ratio,D/E,Div Yield %,EPS TTM,Graham Def,Graham Ent,Graham Score
BNBX,Other,0.36,0.32,12.5,32.3,0.4,2026-06-30,0.0,0.16,1.82,,,384.87,N,N,3
BON,Other,1.18,1.1,7.27,21.1,0.5,2026-06-30,,0.13,1.74,0.214,,-0.72,N,N,2
BRFH,Other,1.95,1.92,1.56,28.8,0.1,2026-07-01,,18.75,1.07,5.166,,-0.16,N,N,0
BRLT,Other,1.14,1.0,14.0,42.3,0.4,2026-07-01,,1.61,1.58,0.54,2193.0,-0.32,N,N,2
BRR,Other,1.65,1.31,25.95,46.7,1.2,2026-06-29,,0.33,87.21,0.515,,,N,N,3
BTCT,Other,1.06,0.61,73.77,40.2,0.5,2026-06-29,,0.27,7.79,0.067,,-1.1,N,N,3
BTOG,Other,1.28,1.13,13.27,28.1,0.8,2026-06-30,,0.32,44.93,,,-10.01,N,N,2
BYAH,Other,0.84,0.82,2.44,43.0,0.3,2026-07-02,,0.14,2.92,0.045,,-2069.0,N,N,3
BZ,Other,13.0,12.57,3.42,43.0,0.6,2026-06-26,12.3,1.99,4.33,0.006,129.0,1.06,N,N,5
CBAT,Other,0.61,0.55,10.91,33.3,1.0,2026-06-29,,0.51,0.65,0.499,,-0.18,N,N,2
CCLD,Other,2.22,2.07,7.25,43.2,1.0,2026-06-26,17.1,1.62,1.11,0.098,,0.13,N,N,2
CCOI,Other,12.99,12.33,5.35,38.8,1.6,2026-06-29,,-5.96,1.9,,828.0,-3.54,N,N,2
CDLX,Other,4.47,4.26,4.93,36.2,0.6,2026-07-02,,-6.15,2.17,,,-20.0,N,N,2
CDT,Other,0.49,0.47,4.26,44.0,0.0,2026-07-02,,-0.01,0.34,,,-1191.88,N,N,1
CELU,Other,0.62,0.56,10.71,36.5,0.4,2026-06-30,,-0.47,0.15,,,-3.55,N,N,1
CELZ,Other,1.21,0.79,53.16,33.9,0.2,2026-06-29,,0.73,19.69,0.002,,-2.07,N,N,3
CETX,Other,2.97,2.59,14.67,26.4,18.2,2026-07-02,0.0,0.09,1.57,0.656,,578.1,N,N,4
CG,Other,42.83,39.6,8.16,43.2,0.5,2026-06-29,29.3,2.85,1.99,1.982,327.0,1.46,N,N,2
CHAI,Other,0.65,0.63,3.17,6.2,0.0,2026-06-29,,-24.13,0.87,,,-0.54,N,N,1
CLPS,Other,0.82,0.8,2.5,16.3,1.1,2026-07-02,,0.42,1.69,0.479,,-0.24,N,N,2
CMCT,Other,3.47,3.01,15.28,27.6,0.2,2026-06-30,,0.05,0.28,1.947,,-5836.47,N,N,1
CMND,Other,2.36,2.04,15.69,14.0,0.0,2026-06-29,,0.21,4.79,0.007,,-176.67,N,N,3
CNXC,Other,23.6,19.12,23.43,40.3,1.0,2026-06-30,,0.53,1.18,2.038,610.0,-20.85,N,N,2
COSM,Other,0.24,0.16,50.0,58.3,1.1,2026-06-30,,0.6,1.08,0.879,,-0.66,N,N,2
CPOP,Other,0.08,0.08,0.0,1.7,0.1,2026-07-02,,0.12,2.0,0.133,,-0.69,N,N,3
CSPI,Other,8.23,7.51,9.59,37.8,0.3,2026-06-30,,1.84,2.64,0.046,145.0,-0.01,N,N,3
CTSO,Other,0.39,0.35,11.43,50.2,0.4,2026-06-29,,11.14,1.09,13.344,,-0.19,N,N,0
CURX,Other,0.25,0.25,0.0,26.4,0.8,2026-07-02,,19.61,9.37,1.56,,-0.02,N,N,1
CWD,Other,1.23,0.57,115.79,71.8,19.9,2026-06-26,,8.6,1.32,3.156,,-4.41,N,N,0
