Ticker,Sector,Last Close,52W High,% From High,RSI,Vol vs Avg,Date Hit
CTBI,Other,72.75,74.57,-2.44,63.8,0.9,2026-07-02
CTNM,Other,15.1,16.91,-10.7,70.2,0.8,2026-06-30
CVBF,Other,22.81,23.33,-2.23,70.0,0.7,2026-07-02
CWBC,Other,26.97,27.73,-2.74,65.1,0.7,2026-07-02
CYTK,Other,86.49,88.31,-2.06,88.9,0.8,2026-06-30
CZFS,Other,72.21,74.7,-3.33,61.2,0.6,2026-07-01
CZNC,Other,23.63,24.08,-1.87,67.0,0.8,2026-07-02
CZWI,Other,23.67,24.42,-3.07,73.1,1.4,2026-07-02
DAVE,Other,387.36,404.44,-4.22,82.2,0.9,2026-07-01
DDIV,Other,45.34,45.6,-0.57,57.6,0.6,2026-06-26
DEMZ,Other,47.0,47.74,-1.55,57.8,2.2,2026-06-30
DFTX,Other,44.19,49.2,-10.18,83.1,0.5,2026-06-30
DGCB,Other,54.64,55.07,-0.78,55.8,1.2,2026-06-29
DGICB,Other,21.78,24.0,-9.25,57.6,0.0,2026-06-26
DGII,Other,72.15,76.41,-5.58,62.5,1.2,2026-07-01
DGRS,Other,58.69,59.78,-1.82,57.5,0.8,2026-07-01
DHC,Other,9.23,9.66,-4.45,60.4,0.6,2026-06-30
DIVD,Other,43.42,43.42,0.0,59.0,1.6,2026-07-02
DMAA,Other,10.65,10.65,0.0,75.0,0.0,2026-07-02
DNLI,Other,25.83,26.8,-3.62,86.6,0.7,2026-07-02
DNTH,Other,94.34,98.7,-4.42,72.5,0.5,2026-06-30
DRH,Other,12.08,12.45,-2.97,58.7,0.8,2026-06-26
DRTS,Other,13.23,13.23,0.0,81.8,1.3,2026-07-02
DVAL,Other,15.84,15.87,-0.19,62.1,0.1,2026-07-02
DVRE,Other,24.81,25.31,-1.98,48.8,0.1,2026-06-26
DVXV,Other,32.99,32.99,0.0,70.7,0.0,2026-07-02
DVY,Other,159.08,159.15,-0.04,60.4,0.9,2026-07-02
DWAS,Other,120.49,127.77,-5.7,57.0,1.1,2026-06-30
DWSN,Other,5.89,6.25,-5.76,67.3,1.5,2026-07-01
DYTA,Other,31.36,31.82,-1.45,51.5,0.8,2026-06-30
EBC,Other,22.36,22.89,-2.32,72.2,0.4,2026-07-02
EBMT,Other,23.64,24.66,-4.14,52.4,0.6,2026-07-01
ECBK,Other,20.2,20.5,-1.46,56.0,0.4,2026-07-02
ECPG,Other,90.61,94.6,-4.22,79.5,1.2,2026-07-01
EFSC,Other,65.8,67.53,-2.56,63.3,0.6,2026-06-26
EGBN,Other,27.59,29.29,-5.8,43.9,0.6,2026-06-26
ELIL,Other,31.59,33.1,-4.56,59.5,1.1,2026-06-29
ELVN,Other,49.82,52.39,-4.91,70.7,0.3,2026-06-30
EMIS,Other,10.18,10.18,0.0,63.6,4.0,2026-07-02
EML,Other,29.11,29.91,-2.67,88.4,0.6,2026-07-01
EQ,Other,2.91,3.54,-17.8,54.1,3.5,2026-06-30
ESGD,Other,103.31,104.21,-0.86,57.3,0.7,2026-07-02
ESMV,Other,30.78,30.78,0.0,71.5,0.0,2026-07-02
ESN,Other,20.07,20.21,-0.69,65.5,0.4,2026-07-02
ESTA,Other,89.25,90.5,-1.38,60.2,0.5,2026-06-26
ETON,Other,37.5,37.97,-1.24,83.5,1.2,2026-07-02
EUFN,Other,39.86,40.03,-0.42,75.8,0.7,2026-07-02
EURK,Other,11.41,14.28,-20.1,46.6,0.1,2026-06-30
EVSD,Other,50.89,50.93,-0.08,57.9,0.6,2026-06-29
EVYM,Other,51.06,51.12,-0.12,72.1,1.5,2026-07-02
EXEL,Other,55.85,56.2,-0.62,62.7,0.9,2026-07-02
EXTR,Other,29.8,33.1,-9.97,41.4,0.8,2026-06-30
FA,Other,20.53,20.59,-0.29,83.1,0.9,2026-07-02
FAB,Other,102.63,102.64,-0.01,62.2,3.1,2026-06-29
FAD,Other,191.62,200.22,-4.3,54.2,0.7,2026-06-30
FALN,Other,27.17,27.21,-0.15,73.5,1.1,2026-07-02
FATE,Other,2.92,3.21,-9.03,73.2,0.9,2026-07-02
FBIZ,Other,63.85,65.49,-2.5,69.2,0.8,2026-07-02
FBLA,Other,15.21,15.46,-1.62,75.9,0.6,2026-06-26
FBNC,Other,63.8,66.06,-3.42,64.7,0.9,2026-07-01
FCBC,Other,45.12,45.84,-1.57,58.6,0.8,2026-07-02
FCCO,Other,32.93,34.01,-3.18,58.3,0.4,2026-06-26
FCEF,Other,23.98,24.09,-0.46,68.4,1.1,2026-07-01
FCEL,Other,28.11,37.88,-25.79,64.0,0.8,2026-06-30
FCTE,Other,28.94,29.73,-2.66,68.6,1.5,2026-07-01
FDBC,Other,52.81,53.43,-1.16,60.5,0.5,2026-07-01
FDIF,Other,40.08,40.75,-1.64,65.6,1.8,2026-07-02
FDMT,Other,13.0,14.0,-7.14,81.1,0.9,2026-06-30
FDSB,Other,16.62,16.62,0.0,84.2,0.4,2026-07-02
FENC,Other,10.7,11.31,-5.39,75.1,0.5,2026-06-29
FEX,Other,137.1,140.13,-2.16,53.6,0.3,2026-06-30
FFBC,Other,34.39,35.0,-1.74,74.4,0.9,2026-07-02
FGNXP,Other,25.12,25.85,-2.82,52.1,0.4,2026-07-01
FHB,Other,29.97,30.52,-1.8,68.1,0.9,2026-07-02
FIBK,Other,39.15,39.65,-1.26,71.3,0.8,2026-07-02
FISI,Other,39.02,40.26,-3.08,62.5,0.6,2026-07-01
FLNT,Other,3.9,4.15,-6.02,85.0,0.1,2026-07-01
FLXS,Other,72.49,77.19,-6.09,74.2,0.9,2026-07-02
FLYW,Other,18.75,18.92,-0.9,83.7,1.0,2026-07-02
FMAO,Other,30.67,32.0,-4.16,70.3,1.0,2026-07-02
FMB,Other,51.43,51.45,-0.04,71.4,0.7,2026-07-02
FMBH,Other,48.46,49.64,-2.38,65.3,0.6,2026-07-01
FMED,Other,29.38,29.45,-0.24,98.5,2.8,2026-07-02
FMHI,Other,48.59,48.62,-0.06,72.7,0.4,2026-07-02
FMNB,Other,14.64,14.97,-2.2,55.5,0.8,2026-07-02
FNK,Other,61.68,61.92,-0.39,59.0,0.6,2026-07-02
FNLC,Other,35.04,35.93,-2.48,75.2,0.7,2026-06-29
FNWB,Other,11.15,11.51,-3.13,63.1,0.5,2026-07-02
FNX,Other,144.05,146.75,-1.84,57.6,1.9,2026-06-30
FNY,Other,106.96,111.06,-3.69,56.2,0.6,2026-06-30
FORM,Other,123.59,160.27,-22.89,47.9,1.0,2026-06-30
FRAF,Other,63.62,64.76,-1.76,64.4,1.3,2026-07-02
FRBA,Other,17.63,18.19,-3.08,67.0,0.7,2026-07-01
FRME,Other,43.44,44.59,-2.58,64.6,0.9,2026-07-02
FROG,Other,94.81,96.0,-1.24,73.5,0.8,2026-07-02
FRST,Other,15.82,16.77,-5.66,56.0,0.6,2026-06-26
FSBC,Other,48.66,50.01,-2.7,74.8,0.6,2026-07-02
FSBW,Other,43.92,44.89,-2.16,60.8,1.0,2026-07-01
FSGS,Other,32.15,32.15,0.0,68.1,0.6,2026-07-02
FTA,Other,98.4,98.48,-0.08,61.2,1.6,2026-07-02
FTDR,Other,78.5,80.09,-1.99,88.1,0.9,2026-07-02
FTQI,Other,21.95,22.15,-0.9,61.8,0.9,2026-07-02
FTSL,Other,44.83,44.83,0.0,65.6,1.0,2026-07-02
FTSM,Other,59.78,59.79,-0.02,78.8,0.7,2026-07-02
FTXH,Other,39.15,39.18,-0.08,79.7,1.2,2026-07-02
FTXO,Other,41.78,42.35,-1.35,64.7,1.5,2026-07-02
FULT,Other,24.11,24.71,-2.43,66.2,0.7,2026-07-02
FUNC,Other,44.53,46.3,-3.82,62.3,0.6,2026-07-01
FUSB,Other,16.5,16.99,-2.88,55.9,0.0,2026-07-01
FV,Other,72.51,76.08,-4.69,48.9,1.3,2026-06-30
FVC,Other,41.84,44.23,-5.4,48.7,0.2,2026-06-30
FVN,Other,10.97,11.99,-8.51,66.1,0.0,2026-06-30
FXNC,Other,30.04,31.21,-3.75,53.8,0.3,2026-07-01
FYC,Other,123.5,127.57,-3.19,66.3,1.0,2026-07-01
FYT,Other,70.27,70.67,-0.57,64.9,0.7,2026-07-01
FYX,Other,142.33,145.45,-2.15,67.5,1.3,2026-07-01
GAINI,Other,25.64,25.71,-0.27,50.0,1.1,2026-07-02
GARY,Other,26.54,27.79,-4.5,53.6,0.7,2026-06-30
GCBC,Other,34.66,34.77,-0.32,76.3,0.7,2026-07-01
GCMG,Other,12.91,12.98,-0.54,89.8,0.5,2026-07-02
GFLW,Other,33.09,34.35,-3.67,55.9,1.9,2026-06-30
GH,Other,167.98,172.61,-2.68,78.7,1.0,2026-07-01
GHRS,Other,27.01,28.96,-6.73,74.3,0.6,2026-06-29
